Id Igreja,Nome Igreja,Score,Nível,Nível (Cor),Algum gestor resp. Comunicação,Status Igreja
3.393,ICB SUMARÉ,147,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png,Sim,entregue
3.443,IAMIR MONTE APRAZÍVEL,147,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png,Sim,entregue
2.767,Shekinah church Perth Amboy,144,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png,Sim,publicado
2.911,LBC Brazil,143,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png,Sim,publicado
474,Igreja DNA,139,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png,Sim,publicado
3.287,You Church,138,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png,Sim,publicado
2.921,Primeira Igreja Batista de Matupá,126,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png,Sim,publicado
2.934,Ministerio Jehová Shammah,126,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png,Sim,entregue
3.275,Quadrangular Parque Valença 1,126,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png,Sim,publicado
3.439,Peoples Church,126,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png,Sim,publicado
3.442,Igreja Presbiteriana dos Lagos,126,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png,Sim,publicado
3.454,Igreja Batista em Vila Gerte,126,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png,Sim,publicado
1.025,CONSELHO GERAL DA IGREJA EVANGÉLICA AVIVAMENTO BÍBLICO,118,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png,Sim,publicado
1.178,St. John Divine Missionary Baptist Church,118,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png,Sim,publicado
2.009,Lagoinha Aveiro,118,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png,Sim,entregue
2.004,Praise Center Church Of God In Christ,112,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png,Sim,publicado
1.428,Word Of Life Christian Faith Center,110,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png,Sim,publicado
329,Igreja do Nazareno Central de Rio Claro,105,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png,Sim,publicado
459,A Ponte Fortaleza,105,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png,Sim,publicado
623,IGREJA CAMINHO SANTO,105,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png,Sim,publicado
950,ROCHA CHURCH GUARUJÁ,105,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png,Sim,publicado
1.333,Faith to Faith Christian Ministries,105,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png,Sim,publicado
1.584,Dennis Winborn Ministries,105,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png,Sim,publicado
1.840,Lagoinha Osasco,105,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png,Sim,publicado
2.215,Lagoinha Nova Marabá,105,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png,Sim,publicado
2.763,Lagoinha Manaus Torres,105,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png,Sim,publicado
2.865,Ministério Apostólico Internacional Shalom,105,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png,Não,publicado
3.307,Casa Amarela,105,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png,Sim,publicado
3.395,Lagoinha Pittsburgh,105,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png,Sim,entregue
3.451,Igreja Pentecostal Batista Betesda,105,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png,Sim,bloqueado
3.438,Rocha Internacional,102,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png,Sim,publicado
2.340,Lagoinha Curitiba,97,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png,Sim,publicado
2.919,Ministério Geração Bethel,97,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png,Sim,publicado
3.174,JESUS CHURCH,97,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png,Sim,publicado
2.225,Lagoinha Palmas,94,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png,Sim,publicado
2.973,Igreja Batista Emanuel,92,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png,Sim,publicado
1.669,Mt. Moriah Missionary Baptist Church,91,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png,Sim,publicado
854,Life Community Baptist Church,89,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png,Sim,publicado
1.173,Centro Avivamiento Valle de Sitim Nazareno,89,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png,Sim,publicado
3.084,Inpeace Leader,89,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png,Sim,publicado
3.460,Reino Graça Church,89,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png,Sim,publicado
2.917,Igreja Logos,86,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png,Sim,publicado
193,Crossbridge Brickell,84,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png,Sim,publicado
298,Igreja Apostólica Manancial da Fé,84,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png,Sim,publicado
505,Igreja do Nazareno Roraima,84,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png,Sim,publicado
593,Crossbridge Key Biscayne,84,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png,Sim,publicado
1.447,Mt Olive Baptist Church Stockbridge,84,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png,Sim,publicado
2.177,Lagoinha Canoas,84,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png,Sim,publicado
2.371,Lagoinha Barreiro- Matriz,84,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png,Sim,publicado
2.509,Lagoinha Venda Nova- Matriz,84,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png,Sim,publicado
2.677,Lagoinha Alto Vera Cruz,84,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png,Sim,publicado
2.821,Lagoinha Vila São José,84,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png,Não,publicado
2.834,Lagoinha Bergamo,84,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png,Sim,publicado
2.910,Igreja Presbiteriana do Cariru,84,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png,Sim,publicado
2.944,Nona IEQ Araucária,84,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png,Sim,publicado
3.141,Abbeville Memorial Church of God in Christ,84,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png,Sim,entregue
3.362,Igreja Casa Forte Erechim,84,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png,Sim,publicado
3.434,K CHURCH,84,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png,Sim,publicado
3.338,Comunidade da Graça em Ubatuba,79,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png,Sim,publicado
3.129,Igreja Nova Aliança de Arapongas,78,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png,Sim,publicado
3.145,ICB de Sinop,78,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png,Sim,entregue
3.155,Facultad de Teología Asambleas de Dios de España,78,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png,Sim,entregue
500,IMW Central de Mantiquira,76,5 - Risco Crítico (Dark Red),https://www.colorcombos.com/images/colors/D40000.png,Não,publicado
2.479,Lagoinha Socorro SP,76,5 - Risco Crítico (Dark Red),https://www.colorcombos.com/images/colors/D40000.png,Não,publicado
882,Nueva Generación Cristiana RI,73,5 - Risco Crítico (Dark Red),https://www.colorcombos.com/images/colors/D40000.png,Sim,publicado
107,Comunidade Cristã Videira,63,5 - Risco Crítico (Dark Red),https://www.colorcombos.com/images/colors/D40000.png,Não,publicado
185,Igreja Batista Filadelfia em Taguatinga,63,5 - Risco Crítico (Dark Red),https://www.colorcombos.com/images/colors/D40000.png,Sim,publicado
309,Eu Escolhi Esperar,63,5 - Risco Crítico (Dark Red),https://www.colorcombos.com/images/colors/D40000.png,Sim,publicado
405,Crossbridge Pinecrest,63,5 - Risco Crítico (Dark Red),https://www.colorcombos.com/images/colors/D40000.png,Sim,publicado
1.881,Batista Lagoinha Faro,63,5 - Risco Crítico (Dark Red),https://www.colorcombos.com/images/colors/D40000.png,Sim,publicado
2.029,Heritage CC Baptist Church,63,5 - Risco Crítico (Dark Red),https://www.colorcombos.com/images/colors/D40000.png,Sim,publicado
2.032,Lagoinha Belém,63,5 - Risco Crítico (Dark Red),https://www.colorcombos.com/images/colors/D40000.png,Sim,publicado
2.239,Lagoinha Cacoal,63,5 - Risco Crítico (Dark Red),https://www.colorcombos.com/images/colors/D40000.png,Sim,publicado
2.248,Lagoinha Rondonópolis,63,5 - Risco Crítico (Dark Red),https://www.colorcombos.com/images/colors/D40000.png,Sim,publicado
2.255,Lagoinha Anápolis,63,5 - Risco Crítico (Dark Red),https://www.colorcombos.com/images/colors/D40000.png,Sim,publicado
2.774,Lagoinha Montreal,63,5 - Risco Crítico (Dark Red),https://www.colorcombos.com/images/colors/D40000.png,Sim,publicado
2.776,Lagoinha Vespasiano,63,5 - Risco Crítico (Dark Red),https://www.colorcombos.com/images/colors/D40000.png,Não,publicado
2.918,Verbo da Vida Surubim,63,5 - Risco Crítico (Dark Red),https://www.colorcombos.com/images/colors/D40000.png,Sim,publicado
2.954,Igreja da Restauração,63,5 - Risco Crítico (Dark Red),https://www.colorcombos.com/images/colors/D40000.png,Sim,entregue
3.459,Ceami- Comunidade Evangélica Amigo Mais que Irmão,63,5 - Risco Crítico (Dark Red),https://www.colorcombos.com/images/colors/D40000.png,Sim,publicado
3.431,ICB Ponta Grossa,60,5 - Risco Crítico (Dark Red),https://www.colorcombos.com/images/colors/D40000.png,Sim,entregue
602,The City Church - Church of God in Christ,55,5 - Risco Crítico (Dark Red),https://www.colorcombos.com/images/colors/D40000.png,Sim,publicado
1.107,Hallelujah Temple,55,5 - Risco Crítico (Dark Red),https://www.colorcombos.com/images/colors/D40000.png,Sim,publicado
328,Igreja Batista Sião de Maringá,52,5 - Risco Crítico (Dark Red),https://www.colorcombos.com/images/colors/D40000.png,Sim,publicado
10,Deus Guará,50,5 - Risco Crítico (Dark Red),https://www.colorcombos.com/images/colors/D40000.png,Sim,publicado
2.265,Lagoinha Formosa,50,5 - Risco Crítico (Dark Red),https://www.colorcombos.com/images/colors/D40000.png,Sim,publicado
3.462,IGREJA BATISTA APOSTÓLICA FILADÉLFIA IBAF,50,5 - Risco Crítico (Dark Red),https://www.colorcombos.com/images/colors/D40000.png,Sim,publicado
3.010,IEQ Avaré- Regional,47,5 - Risco Crítico (Dark Red),https://www.colorcombos.com/images/colors/D40000.png,Sim,publicado
3.470,Lagoinha Tombos,47,5 - Risco Crítico (Dark Red),https://www.colorcombos.com/images/colors/D40000.png,Sim,publicado
2.639,Lagoinha Fernão Dias,45,5 - Risco Crítico (Dark Red),https://www.colorcombos.com/images/colors/D40000.png,Sim,publicado
526,Igreja Presbiteriana de Candeias,42,5 - Risco Crítico (Dark Red),https://www.colorcombos.com/images/colors/D40000.png,Sim,publicado
1.254,COMUNIDADE SALVOS,42,5 - Risco Crítico (Dark Red),https://www.colorcombos.com/images/colors/D40000.png,Sim,publicado
1.306,Word Empowerment Kingdom Center,42,5 - Risco Crítico (Dark Red),https://www.colorcombos.com/images/colors/D40000.png,Sim,publicado
