Id Igreja,Nome Igreja,Status Igreja,Score,Algum gestor resp. eventos,Nível,Nível (Cor)
96,Igreja Metodista Wesleyana de Itaquera,publicado,119,Sim,2 - Engajado (Light Green),https://www.colorcombos.com/images/colors/47FC77.png
3.208,Lagoinha Araucária,entregue,119,Sim,2 - Engajado (Light Green),https://www.colorcombos.com/images/colors/47FC77.png
2.779,Lagoinha Piracicaba,publicado,117,Sim,2 - Engajado (Light Green),https://www.colorcombos.com/images/colors/47FC77.png
3.286,Igreja Apostólica Ministério Resgate,publicado,114,Sim,2 - Engajado (Light Green),https://www.colorcombos.com/images/colors/47FC77.png
2.087,ILAN RECREIO,publicado,112,Não,2 - Engajado (Light Green),https://www.colorcombos.com/images/colors/47FC77.png
462,Lagoinha Lisboa,publicado,111,Não,2 - Engajado (Light Green),https://www.colorcombos.com/images/colors/47FC77.png
2.286,Lagoinha Lauro De Freitas,publicado,111,Sim,2 - Engajado (Light Green),https://www.colorcombos.com/images/colors/47FC77.png
2.377,Lagoinha Balneário Camboriú,publicado,111,Sim,2 - Engajado (Light Green),https://www.colorcombos.com/images/colors/47FC77.png
3.167,Lagoinha Marthas Vineyard Church,publicado,111,Sim,2 - Engajado (Light Green),https://www.colorcombos.com/images/colors/47FC77.png
2.355,Lagoinha Barcelona,publicado,109,Sim,2 - Engajado (Light Green),https://www.colorcombos.com/images/colors/47FC77.png
2.759,Praisedome Nation,publicado,109,Sim,2 - Engajado (Light Green),https://www.colorcombos.com/images/colors/47FC77.png
3.245,IAAP - ITAQUERA,entregue,109,Não,2 - Engajado (Light Green),https://www.colorcombos.com/images/colors/47FC77.png
476,LUZ PARA OS POVOS - CENTRAL MLP,publicado,108,Sim,2 - Engajado (Light Green),https://www.colorcombos.com/images/colors/47FC77.png
474,Igreja DNA,publicado,106,Sim,2 - Engajado (Light Green),https://www.colorcombos.com/images/colors/47FC77.png
2.429,Lagoinha Araraquara,publicado,106,Sim,2 - Engajado (Light Green),https://www.colorcombos.com/images/colors/47FC77.png
1.026,Lagoinha Alphaville,publicado,101,Sim,3 - Em Desenvolvimento (Yellow),https://www.colorcombos.com/images/colors/F6FF00.png
2.841,Lagoinha Charlotte,publicado,101,Sim,3 - Em Desenvolvimento (Yellow),https://www.colorcombos.com/images/colors/F6FF00.png
2.280,Lagoinha Paranaguá,publicado,100,Sim,3 - Em Desenvolvimento (Yellow),https://www.colorcombos.com/images/colors/F6FF00.png
173,Igreja Batista Getsêmani Chapecó,publicado,98,Sim,3 - Em Desenvolvimento (Yellow),https://www.colorcombos.com/images/colors/F6FF00.png
623,IGREJA CAMINHO SANTO,publicado,98,Não,3 - Em Desenvolvimento (Yellow),https://www.colorcombos.com/images/colors/F6FF00.png
721,Primeira Igreja Batista de Bom Jesus do Itabapoana,publicado,98,Sim,3 - Em Desenvolvimento (Yellow),https://www.colorcombos.com/images/colors/F6FF00.png
3.417,Angelim Belém,publicado,98,Sim,3 - Em Desenvolvimento (Yellow),https://www.colorcombos.com/images/colors/F6FF00.png
3.147,ICB Sorriso Centro,entregue,95,Sim,3 - Em Desenvolvimento (Yellow),https://www.colorcombos.com/images/colors/F6FF00.png
1.428,Word Of Life Christian Faith Center,publicado,93,Sim,3 - Em Desenvolvimento (Yellow),https://www.colorcombos.com/images/colors/F6FF00.png
2.647,Lagoinha Conselheiro Lafaiete,publicado,93,Sim,3 - Em Desenvolvimento (Yellow),https://www.colorcombos.com/images/colors/F6FF00.png
2.839,Vinde Church,publicado,93,Sim,3 - Em Desenvolvimento (Yellow),https://www.colorcombos.com/images/colors/F6FF00.png
2.953,Igreja do Evangelho Quadrangular,entregue,93,Não,3 - Em Desenvolvimento (Yellow),https://www.colorcombos.com/images/colors/F6FF00.png
